Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Mar 4 to 8,2024-03-08,3249152.0,362978.802112579,3326616.18847656,0.0,3714652.95800781,387938.026428223,1604781.26611328,1718699.80322266,ESP,
Week Mar 11 to 15,2024-03-14,3388752.0,362978.802112579,3466216.18847656,0.0,3854252.95800781,387938.026428223,1744381.26611328,1718699.80322266,ESP,
Week Mar 18 to 22,2024-03-22,3407930.0,417082.0,3528720.0,0.0,4132667.0,603947.0,1388514.0,2140206.0,ESP,
Week Mar 25 to 29,2024-03-28,3457930.0,417082.0,3576720.0,0.0,4200886.0,672166.0,728375.0,2848345.0,ESP,
Week Apr 1 to 5,2024-04-05,3496930.0,417082.0,3615720.0,0.0,4287886.0,672166.0,767375.0,2848345.0,ESP,
Week Apr 8 to 12,2024-04-12,3657894.0,417082.0,3776684.0,0.0,4448850.0,672166.0,928339.0,2848345.0,ESP,
Week Apr 15 to 19,2024-04-19,3671394.0,417082.0,3790184.0,0.0,4462350.0,672166.0,941839.0,2848345.0,ESP,
Week Apr 22 to 26,2024-04-26,3671394.0,403145.0,3706247.0,0.0,4356551.0,650304.0,912779.0,2793468.0,ESP,
Week Apr 29 to 3,2024-05-03,3671394.0,403145.0,3704247.0,0.0,4354551.0,650304.0,910779.0,2793468.0,ESP,
Week May 6 to 10,2024-05-10,3671394.0,403145.0,3674247.0,0.0,4324551.0,650304.0,880779.0,2793468.0,ESP,
Week May 13 to 17,2024-05-17,3723394.0,403145.0,3723747.0,0.0,4374051.0,650304.0,930279.0,2793468.0,ESP,
Week May 20 to 24,2024-05-24,3723394.0,442474.0,3832930.0,0.0,4819701.0,986771.0,818285.0,3014644.0,ESP,
Week May 27 to 31,2024-05-31,3723394.0,442474.0,3832930.0,0.0,4911708.0,1078778.0,1023554.0,2809375.0,ESP,
Week Jun 3 to 7,2024-06-07,3723394.0,442474.0,3831660.0,0.0,5029486.0,1197826.0,479532.0,3352127.0,ESP,
Week Jun 10 to 15,2024-06-17,3723394.0,442474.0,3828660.0,0.0,5026486.0,1197826.0,476532.0,3352127.0,ESP,
Week Jun 17 to 21,2024-06-21,3723394.0,442474.0,3828660.0,0.0,5023590.0,1194930.0,486311.0,3342348.0,ESP,
Week Jun 24 to 28,2024-06-28,3723394.0,465726.0,3831307.0,0.0,5029160.0,1197853.0,488958.0,3342348.0,ESP,
Week Jul 1 to 5,2024-07-05,3759894.0,465726.0,3867807.0,0.0,5065660.0,1197853.0,525458.0,3342348.0,ESP,
Week Jul 8 to 12,2024-07-11,3845587.0,465726.0,3952411.0,0.0,5268711.0,1316300.0,610062.0,3342348.0,ESP,
Week Jul 15 to 19,2024-07-19,4056087.0,465726.0,4161411.0,0.0,5477711.0,1316300.0,819062.0,3342348.0,ESP,
